,serie,cpu_manufacturer,core,cpu_frequency,cpu_series,memory_size,memory_type,RAM,resolution,matrix_type,videocard,weight,laptop_class,prices
44,"Apple MacBook Pro Series, Apple MacBook Pro 2022",Apple,8.0,3.5,M2,256.0,SSD,8.0,2560x1600 WQXGA,IPS Retina,Integrated,1.4,Gaming,816990
45,Lenovo V15,Intel,2.0,1.2,Intel Core i3,256.0,SSD,4.0,1920x1080 Full HD,TN,Integrated,1.85,Non-gaming,259990
46,HP Envy x360,AMD,6.0,2.3,AMD Ryzen 5,512.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.32,Non-gaming,522990
47,Asus Zenbook OLED,Intel,4.0,2.4,Intel Core i5,512.0,SSD,8.0,2880x1800,OLED,Integrated,1.4,Non-gaming,579990
48,HP Victus,Intel,12.0,2.0,Intel Core i5,512.0,SSD,8.0,1920x1080 Full HD,IPS,NGF RTX3050,2.2,Gaming,519890
49,LG Gram,Intel,4.0,2.8,Intel Core i7,1000.0,SSD,16.0,2560x1600 WQXGA,IPS,Integrated,1.35,Non-gaming,1069990
50,HP Envy,Intel,4.0,2.4,Intel Core i5,256.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.3,Non-gaming,484990
51,HP Envy,Intel,4.0,2.4,Intel Core i5,512.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.3,Non-gaming,469990
52,HP Victus,Intel,12.0,2.0,Intel Core i5,512.0,SSD,8.0,1920x1080 Full HD,IPS,NGF GTX 1650,1.8,Gaming,464990
53,"Apple MacBook Air Series, Apple MacBook Air 2022",Apple,8.0,3.5,M2,512.0,SSD,8.0,2560x1600 WQXGA,IPS,Integrated,1.24,Gaming,942990
54,"Apple MacBook Pro Series, Apple MacBook Pro 2022",Apple,8.0,3.5,M2,512.0,SSD,8.0,2560x1600 WQXGA,IPS Retina,Integrated,1.4,Gaming,942990
55,"Apple MacBook Air Series, Apple MacBook Air 2022",Apple,8.0,3.5,M2,256.0,SSD,16.0,2560x1600 WQXGA,IPS,Integrated,1.24,Gaming,919990
56,Lenovo IdeaPad 5 Pro,Intel,4.0,3.1,Intel Core i5,512.0,SSD,8.0,2560x1600 WQXGA,IPS,NGF MX450,1.9,Non-gaming,559990
